position,points,salary
QB,29.44,6100
QB,28.38,6500
QB,23.76,5400
QB,22.98,5300
QB,20.46,6600
QB,19.28,5700
QB,18.12,4700
QB,17.28,5600
QB,16.94,6700
QB,16.6,6800
QB,16.56,6900
QB,15.6,6400
QB,15.34,4800
QB,15.22,6300
QB,14.62,7000
QB,14.46,4500
QB,13.4,4600
QB,12.84,5500
QB,12.42,4800
QB,12.4,5300
QB,12.16,6500
QB,11.82,6200
QB,10.42,4800
QB,9.52,6300
QB,9.36,6700
QB,8.02,5200
QB,8,5000
QB,7.9,5500
QB,7.38,6000
QB,7.06,4400
QB,6.42,4500
QB,6.08,4800
QB,0.6,4000
QB,0,5100
QB,0,4500
QB,0,4700
QB,-0.1,4500
QB,-0.1,4900
RB,55.6,9100
RB,35.3,6000
RB,32.8,5000
RB,28.3,5500
RB,23.5,4000
RB,21.8,7200
RB,20.7,9900
RB,20.7,3900
RB,20.6,8400
RB,19.7,7800
RB,17.1,4500
RB,16.6,4100
RB,16.4,6600
RB,16.3,5000
RB,16,8300
RB,16,7500
RB,15.8,8000
RB,15.6,8100
RB,15.2,4900
RB,15.2,4000
RB,14.9,4600
RB,14.3,5100
RB,13.8,3500
RB,12.6,3000
RB,12.2,3900
RB,11.3,3900
RB,11.1,3800
RB,10.3,3500
RB,10.2,4500
RB,9.6,5600
RB,9.4,4300
RB,9.1,4200
RB,8.5,5400
RB,8.5,4300
RB,8.3,4500
RB,8.2,3100
RB,7.8,6400
RB,7.5,4300
RB,7.5,5000
RB,7.4,3800
RB,7.4,3500
RB,6.9,4700
RB,6.6,6500
RB,6.3,4500
RB,6.1,5500
RB,6.1,3000
RB,6.1,3000
RB,5.8,3000
RB,5.8,5300
RB,5.8,4400
RB,5.7,7100
RB,5.7,3900
RB,5.6,3700
RB,5.4,3400
RB,5.3,4200
RB,5.2,5100
RB,4.1,3700
RB,4.1,4500
RB,4.1,3000
RB,3.6,3800
RB,3.6,3000
RB,3,3600
RB,2.9,3500
RB,2.8,0
RB,2.8,3700
RB,2.6,3800
RB,2.5,3900
RB,2,3000
RB,2,3400
RB,1.9,3000
RB,1.8,3900
RB,1.4,3400
RB,1.4,3000
RB,1.3,4000
RB,1,3500
RB,1,3000
RB,0.9,3800
RB,0.9,3500
RB,0.7,4000
RB,0.4,3900
RB,0.3,3000
RB,0.2,3700
RB,0.2,3000
RB,0,3000
RB,0,3300
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3500
RB,0,3000
RB,0,3200
RB,0,3000
RB,0,3000
RB,0,3400
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3000
RB,0,3700
RB,0,3000
RB,0,3000
RB,0,3800
RB,0,3000
RB,0,3500
RB,0,4000
RB,0,3000
RB,0,3000
RB,0,3000
RB,-0.2,0
RB,-1,3600
WR,30.74,6800
WR,24.9,7900
WR,24,3000
WR,19.8,6500
WR,19.8,4700
WR,19.7,6400
WR,19.5,6400
WR,19,4600
WR,19,4900
WR,17.3,6200
WR,16.5,8400
WR,16.5,5300
WR,15.6,5300
WR,15.1,3800
WR,14.7,5000
WR,14.1,6700
WR,14.1,3500
WR,13.5,6300
WR,13.3,3200
WR,13.1,3000
WR,12.8,3000
WR,12.8,0
WR,12.5,3200
WR,12,4400
WR,12,4200
WR,11.4,6100
WR,11.3,7700
WR,11.3,4200
WR,11,3000
WR,10.9,3100
WR,10.8,3400
WR,10.6,7600
WR,10.1,5000
WR,10.1,3500
WR,10,4500
WR,10,5400
WR,9.8,5600
WR,9.5,6600
WR,9.2,3900
WR,9.2,5500
WR,9.1,6300
WR,8.9,3000
WR,8.8,3000
WR,8.4,4000
WR,8.3,3600
WR,8.1,3000
WR,8,3400
WR,8,6400
WR,7.9,3100
WR,7.7,3000
WR,7.5,5200
WR,7.5,3000
WR,7.5,3000
WR,7.1,5700
WR,6.8,3300
WR,6.8,5100
WR,6.7,5200
WR,6.7,3800
WR,6.6,3200
WR,6.6,0
WR,6.4,6000
WR,6.3,6500
WR,5.8,4800
WR,5.6,6100
WR,5.3,3900
WR,4.9,3000
WR,4.8,3400
WR,4.7,3200
WR,4.5,3000
WR,4.5,3000
WR,4.5,7000
WR,4.4,6200
WR,4.4,3000
WR,4.4,8100
WR,4.2,3100
WR,4.1,4300
WR,4.1,6800
WR,4.1,6600
WR,3.9,3000
WR,3.9,6300
WR,3.4,3400
WR,3.4,3000
WR,3.2,3400
WR,3.2,3000
WR,3,3000
WR,2.9,3000
WR,2.7,3000
WR,2.6,3000
WR,2.2,3000
WR,2.2,3000
WR,2.2,3000
WR,2,4200
WR,2,3000
WR,1.9,3000
WR,1.9,3900
WR,1.9,3100
WR,1.8,3000
WR,1.8,3000
WR,1.7,3700
WR,1.6,3800
WR,1.6,3000
WR,1.6,3000
WR,1.5,3700
WR,1.5,3100
WR,1.5,3000
WR,1.4,3000
WR,1.3,4000
WR,1,3000
WR,0,5800
WR,0,3000
WR,0,3000
WR,0,3400
WR,0,3100
WR,0,3400
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3100
WR,0,3000
WR,0,3000
WR,0,6300
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3400
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3500
WR,0,3000
WR,0,3000
WR,0,3000
WR,0,3000
WR,-0.2,3000
WR,-0.4,3800
TE,20.1,2500
TE,19.3,3700
TE,17.7,7400
TE,17.1,6000
TE,14.9,2500
TE,14.7,6900
TE,13.2,2500
TE,12.2,3400
TE,10,2500
TE,9.2,2700
TE,9.1,4700
TE,9,3700
TE,8.9,4000
TE,8.6,2800
TE,7.7,3800
TE,7.6,2500
TE,7.4,2500
TE,7.3,4700
TE,7.1,2500
TE,7.1,2500
TE,6.3,4900
TE,6.1,2700
TE,5.7,5200
TE,5,2500
TE,4.8,3100
