QB,RB,RB,WR,WR,WR,TE,FLEX,D
40934-63115,40934-55050,40934-80001,40934-86687,40934-55635,40934-25760,40934-64585,40934-41426,40934-12547
40934-63115,40934-80001,40934-55050,40934-32243,40934-54606,40934-86687,40934-22754,40934-40442,40934-12547
40934-63115,40934-52922,40934-80001,40934-29253,40934-60858,40934-79970,40934-62718,40934-6779,40934-12541
40934-70324,40934-54140,40934-80001,40934-24641,40934-64555,40934-55635,40934-33076,40934-38301,40934-12541
40934-63115,40934-80001,40934-55050,40934-40669,40934-32243,40934-54606,40934-22754,40934-40442,40934-12547
40934-63115,40934-55050,40934-31184,40934-27050,40934-24589,40934-62535,40934-38301,40934-52613,40934-12541
40934-63115,40934-28827,40934-55050,40934-8117,40934-7859,40934-55635,40934-62718,40934-27776,40934-12549
40934-63115,40934-6779,40934-55050,40934-38264,40934-31001,40934-22288,40934-62718,40934-31184,40934-12541
40934-63115,40934-31184,40934-55050,40934-27457,40934-27050,40934-24589,40934-38301,40934-39793,40934-12541
40934-62239,40934-52922,40934-54140,40934-60858,40934-86687,40934-24641,40934-25011,40934-45229,40934-12541
40934-63115,40934-62497,40934-53562,40934-56018,40934-55635,40934-86687,40934-56265,40934-54140,40934-12534
40934-63115,40934-71521,40934-80001,40934-31394,40934-86687,40934-55635,40934-40845,40934-41426,40934-12541
40934-63115,40934-27776,40934-55050,40934-53390,40934-31524,40934-52613,40934-33076,40934-24641,40934-12541
40934-63115,40934-80001,40934-55050,40934-32243,40934-22288,40934-40669,40934-39286,40934-40442,40934-12549
40934-63115,40934-55050,40934-62497,40934-27457,40934-64555,40934-79970,40934-38301,40934-57342,40934-12541
40934-63115,40934-27776,40934-55050,40934-52613,40934-60861,40934-60858,40934-33557,40934-52922,40934-12541
40934-63115,40934-54140,40934-40442,40934-71039,40934-86687,40934-29253,40934-33076,40934-6627,40934-12541
40934-63115,40934-24920,40934-55224,40934-27477,40934-55635,40934-31001,40934-40977,40934-54140,40934-12541
40934-22015,40934-55050,40934-55970,40934-86687,40934-79970,40934-32384,40934-6914,40934-57342,40934-12541
40934-63115,40934-52922,40934-39280,40934-86687,40934-11432,40934-24641,40934-6914,40934-72731,40934-12541
40934-63115,40934-55050,40934-54140,40934-86687,40934-60858,40934-27477,40934-14348,40934-71352,40934-12538
40934-63115,40934-55050,40934-54140,40934-61631,40934-52613,40934-60858,40934-57338,40934-55366,40934-12549
40934-63115,40934-41426,40934-52922,40934-56018,40934-86687,40934-11505,40934-54007,40934-40442,40934-12541
40934-54879,40934-54140,40934-55050,40934-60858,40934-52613,40934-54606,40934-38301,40934-53639,40934-12549
40934-63115,40934-55050,40934-55323,40934-56809,40934-57403,40934-56250,40934-38301,40934-41426,40934-12541
40934-63115,40934-55050,40934-27776,40934-27477,40934-24589,40934-52613,40934-33557,40934-24641,40934-12541
40934-63484,40934-27776,40934-54140,40934-27050,40934-56250,40934-86687,40934-39793,40934-24755,40934-12541
40934-63115,40934-83081,40934-38791,40934-55635,40934-56250,40934-27050,40934-29956,40934-40845,40934-12541
40934-63115,40934-64119,40934-55050,40934-6883,40934-56018,40934-24589,40934-52436,40934-71706,40934-12541
40934-63115,40934-55050,40934-54140,40934-60858,40934-32235,40934-86687,40934-62718,40934-71352,40934-12538
40934-63115,40934-52442,40934-55050,40934-33260,40934-40669,40934-56018,40934-18009,40934-27776,40934-12541
