index,name,team,position,points,pos_rank,drop_off,sd_pts,floor,ceiling,salary,avg_type,avg,value
32,Drew Brees,NOS,QB,18.96835449,9,0.411504492,0.555891236,18.5016,20.282,8500,median,17.94,1.028354492
33,Tom Brady,NEP,QB,17.38100325,15,0.232376963,1.27444296,14.9804,22.81446829,7700,mean,18.77,-1.38899675
34,Josh McCown,PHI,QB,0.979916667,59,0.02617381,0.4418148,0.099444444,12.7676,6000,median,0.56,0.419916667
36,Eli Manning,NYG,QB,2.982333333,48,1.049678846,0.50512182,0.135,20.749,6000,median,0.56,2.422333333
38,Philip Rivers,LAC,QB,14.28778947,27,0.023227867,1.85325,11.9084,18.46799158,7300,mean,17.55,-3.262210526
40,Matt Schaub,ATL,QB,1.1252,55,0.0222375,0.50734572,0.08116,2.2956,6000,median,0.56,0.5652
41,Aaron Rodgers,GBP,QB,18.572,10,0.07115,1.0808154,17.52103,19.8,8100,median,18.29,0.282
43,Ryan Fitzpatrick,MIA,QB,12.58913801,39,1.734169258,2.0689683,10.34159769,16.30050599,7100,median,17.72,-5.130861992
48,Matt Moore,KCC,QB,1.48975,52,0.1640875,0.7086828,0.0831,2.43415,6000,median,0.56,0.92975
50,Matt Ryan,ATL,QB,16.3955837,20,0.034708696,1.596524968,15.1136,19.99131602,7700,mean,18.77,-2.374416304
56,Chase Daniel,CHI,QB,1.246325,54,0.1296375,0.14944608,0.1404,1.6096,6500,median,12.99,-11.743675
57,Brian Hoyer,IND,QB,0.751475,68,0.067158333,0.48451368,0.0844,1.3204,6000,median,0.56,0.191475
67,Andy Dalton,CIN,QB,14.25648728,29,0.073709119,1.6664424,12.27605903,18.47969079,6000,median,0.56,13.69648728
75,Tyrod Taylor,LAC,QB,0.8746375,64,0.0177625,0.49993272,0.09675,3.3944,6000,median,0.56,0.3146375
78,Robert Griffin III,BAL,QB,5.52047619,47,2.991309524,0.84537852,0.0894,29.89095238,6000,median,0.56,4.96047619
79,Ryan Tannehill,TEN,QB,13.92882756,32,0.222702564,0.7235088,13.55842564,15.29048,7300,mean,17.55,-3.621172436
80,Nick Foles,JAC,QB,16.34175,22,0.31665,0.98385336,14.66112884,18.89350245,7500,median,17.08,-0.73825
81,Kirk Cousins,MIN,QB,16.7093,18,0.216710105,1.561848669,15.39339,18.14287,7700,mean,18.77,-2.0607
82,Russell Wilson,SEA,QB,20.10576284,7,0.741585592,2.191986033,18.1944,22.4954888,7900,median,16.99,3.115762838
88,Case Keenum,WAS,QB,0.9275,63,0.06018125,0.5945226,0.005,6.806,6000,median,0.56,0.3675
93,Geno Smith,SEA,QB,1.62590625,51,0.17853125,0.9073512,-0.184,7.863375,6000,median,0.56,1.06590625
94,Matt Barkley,BUF,QB,0.5766625,72,0.0431125,0.1363992,0.0532,0.96188,6000,median,0.56,0.0166625
95,Mike Glennon,OAK,QB,1.405,53,0.2192375,0.51401742,0.09115,11.03222222,6000,median,0.56,0.845
118,Ryan Griffin,TBB,QB,0.5215,74,0.17195,0.4195758,-0.1071,0.5555,5600,median,10.64,-10.1185
119,Ryan Griffin,TBB,QB,0.5215,74,0.17195,0.4195758,-0.1071,0.5555,6000,median,0.56,-0.0385
125,Teddy Bridgewater,NOS,QB,1.09775,57,0.115538889,0.48688584,0.06352,5.3176,6000,median,0.56,0.53775
126,Blake Bortles,LAR,QB,1.108175,56,0.067047222,0.37480128,0.1336,3.3568,6000,median,0.56,0.548175
127,Derek Carr,OAK,QB,13.588,34,0.085225,1.255712074,11.932,15.565,7200,mean,15.86,-2.272
140,Jimmy Garoppolo,SFO,QB,12.88166581,37,0.197096801,2.55941238,10.0195,15.41849,8000,median,18.74,-5.858334195
142,David Fales,NYJ,QB,0.62435,71,0.06321875,0.118608,0,0.72672,6000,median,0.56,0.06435
143,Garrett Gilbert,CLE,QB,0.1285,81,0.096,0.1275036,-0.1037,0.2523,6000,median,0.56,-0.4315
150,Jameis Winston,TBB,QB,17.26500257,16,0.394227574,1.07103024,15.37076005,18.573,7600,mean,18.57,-1.304997426
151,Marcus Mariota,TEN,QB,0.9295,62,0.02843125,0.2579724,0.1096,4.4504,6000,median,0.56,0.3695
152,Brett Hundley,ARI,QB,0.69455,69,0.045333333,0.58236528,0.0896,1.5712,6000,median,0.56,0.13455
153,Sean Mannion,MIN,QB,0.3991,75,0.10125,0.19688928,0.033766667,0.49824,6000,median,0.56,-0.1609
196,Carson Wentz,PHI,QB,17.77025,14,0.447247088,0.733887,14.11667402,19.31285,7300,mean,17.55,0.22025
197,Jared Goff,LAR,QB,15.75253906,25,0.750248368,0.756126,14.44497318,16.71468,7900,median,16.99,-1.237460943
198,Jacoby Brissett,IND,QB,14.27263594,28,0.042100946,0.60223212,12.5506,15.547,7200,mean,15.86,-1.587364064
200,Dak Prescott,DAL,QB,18.5417,11,0.3217,1.823598,16.24740409,20.22037,8200,median,18.92,-0.3783
201,Brandon Allen,DEN,QB,0.984505556,58,0.007304365,0.81365088,0.007444444,1.3096,6600,median,12.6,-11.61549444
202,Jeff Driskel,DET,QB,2.076,49,0.368392388,0.904386,0.12765,4.29105,7000,median,15.58,-13.504
243,Deshaun Watson,HOU,QB,16.58959609,19,0.201804246,2.92502154,13.448,19.38475,7700,mean,18.77,-2.180403906
244,Mitchell Trubisky,CHI,QB,14.16097361,31,0.284434832,0.510089181,13.61,15.82832,6800,median,14.02,0.140973614
245,Patrick Mahomes,KCC,QB,23.91664701,1,0.887423591,1.145644761,21.63133,25.31290876,8600,median,19.16,4.756647006
246,Cooper Rush,DAL,QB,0.2605,78,0.056366667,0.2490768,-0.085,0.3348,6000,median,0.56,-0.2995
288,Taysom Hill,NOS,QB,1.789308974,50,0.231480849,0.65853338,0.66141266,2.373,4700,median,9.4,-7.610691026
293,Josh Allen,BUF,QB,15.8902,24,0.155534519,1.579016094,14.32727776,17.57708,7800,median,17.07,-1.1798
294,Baker Mayfield,CLE,QB,14.2045827,30,0.159682113,0.85901844,12.9149,15.70332,7600,mean,18.57,-4.365417298
295,Josh Rosen,MIA,QB,0.8315,67,0.1084875,0.1601208,0.106,1.08,6000,median,0.56,0.2715
296,Sam Darnold,NYJ,QB,15.71679191,26,1.4365792,0.97451298,14.32985895,16.834,7600,mean,18.57,-2.853208095
297,Lamar Jackson,BAL,QB,23.41844683,2,0.838446831,1.768114842,20.82377,28.0874,8700,median,19.28,4.138446831
298,Mason Rudolph,PIT,QB,0.933,61,0.0045,0.5752488,0.11568,2.9098,6200,median,12.89,-11.957
357,Tim Boyle,GBP,QB,0.2525,79,0.110366667,0.5011188,-0.0784,0.6378,6000,median,0.56,-0.3075
358,Kyle Allen,CAR,QB,13.54555,35,0.374717097,1.53093276,12.14700548,15.727,7200,mean,15.86,-2.31445
368,Nick Mullens,SFO,QB,0.674083333,70,0.073577083,0.31994508,0.05524,1.402266667,6000,median,0.56,0.114083333
371,Kyler Murray,ARI,QB,17.03225,17,0.382801953,2.6746104,12.52344689,19.39722,7700,mean,18.77,-1.73775
373,Daniel Jones,NYG,QB,13.82425,33,0.257475,0.711648,13.182,15.84305,7400,median,17.26,-3.43575
374,Will Grier,CAR,QB,0.5456,73,0.0853,0.3736152,0.038,0.65888,6000,median,0.56,-0.0144
375,Jarrett Stidham,NEP,QB,0.155766667,80,0.074016667,0.37065,-0.314666667,0.44544,6000,median,0.56,-0.404233333
376,Ryan Finley,CIN,QB,0.85375,66,0.0622625,0.3024504,0.1004,2.5844,6400,median,11.96,-11.10625
377,David Blough,DET,QB,8.823724517,46,4.572319755,3.2261376,5.288,11.63223923,6000,median,0.56,8.263724517
437,Devlin Hodges,PIT,QB,11.2099375,40,0.86517133,1.045418325,9.4094875,12.7394875,6800,median,14.02,-2.8100625
42,Frank Gore,BUF,RB,5.038204913,60,0.188204913,0.659757,4.3727,12.02011109,5400,mean,6.49,-1.451795087
45,Adrian Peterson,WAS,RB,5.77060113,53,0.182574878,0.998133798,3.83495,14.56687535,5800,mean,8.25,-2.47939887
53,LeSean McCoy,KCC,RB,9.69927995,27,0.067693749,0.751101015,8.498872514,16.49710111,5800,mean,8.25,1.44927995
69,Taiwan Jones,HOU,RB,0.056,165,0.006,0.0237216,0.006,0.4916,4500,median,0,0.056
70,Bilal Powell,NYJ,RB,2.712504736,88,0.015736314,0.452193,2.109318977,5.153759121,4900,mean,4.5,-1.787495264
71,Anthony Sherman,KCC,RB,0.383,149,0.050705645,0.1245384,0.289487825,0.6675,4500,median,0,0.383
72,Dion Lewis,TEN,RB,2.544745131,93,0.094745131,0.88956,1.58,3.64008263,4700,mean,3.31,-0.765254869
86,Brandon Bolden,NEP,RB,1.418170324,115,0.019327556,0.842327434,0.7164,3.843988285,4500,median,0,1.418170324
91,Jamize Olawale,DAL,RB,0.161,160,0.0549375,0.0615279,0.02,0.195,4500,median,0,0.161
96,Kenjon Barner,ATL,RB,0.64375,136,0.065382826,0.384785277,0.265693177,0.9214,5100,median,3.4,-2.75625
97,Rex Burkhead,NEP,RB,3.858487011,73,0.090913588,0.8020866,2.612,5.023913526,5400,mean,6.49,-2.631512989
98,Chris Thompson,WAS,RB,4.066559328,71,0.137315823,0.340998,3.328710616,4.601,5200,mean,6.11,-2.043440672
99,Le'Veon Bell,NYJ,RB,13.575,16,0.437183915,1.4840826,10.15011006,15.9812,7300,median,11.55,2.025
100,Giovani Bernard,CIN,RB,3.540614758,77,0.023664758,0.601550736,3.02375,7.727448371,4700,mean,3.31,0.230614758
113,Kyle Juszczyk,SFO,RB,1.305,118,0.055,0.5344773,0.80825,1.98,4600,mean,2.58,-1.275
115,Latavius Murray,NOS,RB,7.414765313,40,0.180234339,1.0689546,5.084,9.8787,6200,median,9.6,-2.185234687
129,Carlos Hyde,HOU,RB,7.658867729,37,0.141308419,0.985230818,5.844241275,9.357,6000,median,7.85,-0.191132271
131,Devonta Freeman,ATL,RB,8.84325,32,0.302948294,2.431464,6.468758595,11.634,6200,median,9.6,-0.75675
138,James White,NEP,RB,7.681608486,36,0.084615311,0.474432,7.1241,11.536,6000,median,7.85,-0.168391514
147,Senorise Perry,BUF,RB,0.112125,161,0.012125,0.0904386,0.00675,0.4704,4500,median,0,0.112125
148,Keith Smith,ATL,RB,0.215433468,157,0.030627912,0.142198079,0.0206,0.3424,4500,median,0,0.215433468
154,Tevin Coleman,SFO,RB,9.07241349,31,0.260853636,0.711648,7.705971569,10.65695,6100,mean,9.74,-0.66758651
155,Jay Ajayi,PHI,RB,4.1695,70,0.136220336,0.7620564,1.715,5.378781055,4800,mean,4.21,-0.0405
156,Ameer Abdullah,MIN,RB,0.770589256,127,0.02444506,0.186390032,0.6175,1.028359177,4800,mean,4.21,-3.439410744
157,Duke Johnson,HOU,RB,5.884268655,52,0.146686121,0.5960052,5.024,6.3582,5400,mean,6.49,-0.605731345
158,Javorius Allen,NYG,RB,0.548007075,138,0.006507075,0.333585,0.039459906,0.86565,4500,median,0,0.548007075
159,Mike Davis,CAR,RB,0.698041667,132,0.024093553,0.4885167,0.14825,1.42975,4500,median,0,0.698041667
160,David Johnson,ARI,RB,4.515,65,0.13723137,1.7516919,1.63625,7.449696512,5700,median,6.3,-1.785
178,Ty Montgomery,NYJ,RB,1.62735286,109,0.04035286,0.707859979,0.765,2.28475,4600,mean,2.58,-0.95264714
183,Michael Burton,WAS,RB,0.06125,163,0.00325,0.0385476,0.00165,0.1183,4500,median,0,0.06125
185,Malcolm Brown,LAR,RB,2.693536843,90,0.093342045,1.082298,1.671,4.141999164,4900,mean,4.5,-1.806463157
190,Raheem Mostert,SFO,RB,4.59197397,64,0.088458463,0.9088338,3.1481,6.1699,4800,mean,4.21,0.38197397
203,Ezekiel Elliott,DAL,RB,15.48242336,4,0.385923363,1.188285637,14.16245,16.8817,8400,median,13.55,1.932423363
204,Derrick Henry,TEN,RB,13.93975,13,0.158110548,2.0007687,10.03891365,17.16465,8600,median,16.1,-2.16025
206,Devontae Booker,DEN,RB,0.829111111,125,0.058316483,0.671660547,0.2764,1.631405767,4500,median,0,0.829111111
207,Kenyan Drake,ARI,RB,9.543897344,30,0.586065599,0.698370315,8.5166,13.1641,6400,median,8.1,1.443897344
209,Jonathan Williams,IND,RB,10.28470871,26,0.607568735,0.439094466,7.789,13.6592,6800,median,9.9,0.38470871
211,Peyton Barber,TBB,RB,4.492031014,66,0.25717051,2.07564,2.672,6.342786838,5400,mean,6.49,-1.997968986
229,Derek Watt,LAC,RB,0.292875661,152,0.019170202,0.124907089,0.221750265,0.5494,4500,median,0,0.292875661
231,Dwayne Washington,NOS,RB,0.466452128,146,0.006967872,0.531170366,0.0076,1.1376,4500,median,0,0.466452128
