Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,
40934-72846,WR,A.J.,A.J. Brown,Brown,8.854545593,11,5300,TEN@IND,TEN,IND,,,,,
40934-14187,WR,A.J.,A.J. Green,Green,14.04444461,9,6600,NYJ@CIN,CIN,NYJ,Q,Ankle,,,
40934-55050,RB,Christian,Christian McCaffrey,McCaffrey,27.53636308,11,11000,WAS@CAR,CAR,WAS,,,,,
40934-63115,QB,Lamar,Lamar Jackson,Jackson,28.33454479,11,8700,SF@BAL,BAL,SF,,,,,
40934-24671,WR,Adam,Adam Humphries,Humphries,5.472727342,11,5300,TEN@IND,TEN,IND,,,,,
40934-79967,TE,Adam,Adam Shaheen,Shaheen,1.699999946,7,4000,CHI@DET,CHI,DET,Q,Foot,,,
40934-39716,WR,Adam,Adam Thielen,Thielen,11.83749962,8,7000,MIN@SEA,MIN,SEA,Q,Hamstring,,,
40934-54140,RB,Dalvin,Dalvin Cook,Cook,21.24545427,11,8400,MIN@SEA,MIN,SEA,,,,,
40934-22015,QB,Russell,Russell Wilson,Wilson,23.05272744,11,7900,MIN@SEA,SEA,MIN,,,,,
40934-55976,WR,Ajene,Ajene Harris,Harris,0,0,4500,PHI@MIA,PHI,MIA,,,,,
40934-48344,WR,Albert,Albert Wilson,Wilson,3.525000095,8,4700,PHI@MIA,MIA,PHI,Q,Ribs,,,
40934-40442,RB,Aaron,Aaron Jones,Jones,17.96363692,11,8000,GB@NYG,GB,NYG,,,,,
40934-39280,RB,Derrick,Derrick Henry,Henry,17.49090854,11,8600,TEN@IND,TEN,IND,,,,,
40934-28907,WR,Alex,Alex Erickson,Erickson,4.854545593,11,4700,NYJ@CIN,CIN,NYJ,,,,,
40934-31716,QB,Dak,Dak Prescott,Prescott,22.63818221,11,8200,BUF@DAL,DAL,BUF,,,,,
40934-80001,RB,Austin,Austin Ekeler,Ekeler,16.87272783,11,6700,LAC@DEN,LAC,DEN,,,,,
40934-53562,RB,Nick,Nick Chubb,Chubb,16.82727328,11,8200,CLE@PIT,CLE,PIT,,,,,
40934-52922,RB,Leonard,Leonard Fournette,Fournette,16.19999972,11,7600,TB@JAC,JAC,TB,,,,,
40934-25760,WR,Allen,Allen Hurns,Hurns,4.7,10,5100,PHI@MIA,MIA,PHI,,,,,
40934-56809,WR,Allen,Allen Lazard,Lazard,6.71666654,6,5400,GB@NYG,GB,NYG,,,,,
40934-28643,WR,Allen,Allen Robinson II,Robinson II,11.99090854,11,7700,CHI@DET,CHI,DET,,,,,
40934-21980,WR,Alshon,Alshon Jeffery,Jeffery,10.92857143,7,6500,PHI@MIA,PHI,MIA,Q,Ankle,,,
40934-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,16.17272672,11,8400,BUF@DAL,DAL,BUF,,,,,
40934-28055,WR,Amara,Amara Darboh,Darboh,0,0,4500,CLE@PIT,PIT,CLE,,,,,
40934-31001,WR,Amari,Amari Cooper,Cooper,14.41818237,11,7900,BUF@DAL,DAL,BUF,,,,,
40934-14211,RB,Mark,Mark Ingram II,Ingram II,15.79090881,11,7500,SF@BAL,BAL,SF,,,,,
40934-41221,WR,Andre,Andre Patton,Patton,1.066666683,3,4500,LAC@DEN,LAC,DEN,,,,,
40934-11504,WR,Andre,Andre Roberts,Roberts,0.333333333,9,4500,BUF@DAL,BUF,DAL,,,,,
40934-54426,TE,Andrew,Andrew Beck,Beck,0.949999988,4,4200,LAC@DEN,DEN,LAC,,,,,
40934-54879,QB,Deshaun,Deshaun Watson,Watson,22.2781816,11,7700,NE@HOU,HOU,NE,,,,,
40934-63419,WR,Andy,Andy Isabella,Isabella,3.637500048,8,4900,LAR@ARI,ARI,LAR,,,,,
40934-42104,RB,Alvin,Alvin Kamara,Kamara,15.2466668,9,8300,NO@ATL,NO,ATL,,,,,
40934-80294,TE,Anthony,Anthony Firkser,Firkser,4.620000076,5,5000,TEN@IND,TEN,IND,,,,,
40934-41936,WR,Anthony,Anthony Miller,Miller,4.299999931,11,5300,CHI@DET,CHI,DET,,,,,
40934-72731,RB,Josh,Josh Jacobs,Jacobs,14.48181846,11,7700,OAK@KC,OAK,KC,,,,,
40934-72133,WR,Antoine,Antoine Wesley,Wesley,0,0,4500,SF@BAL,BAL,SF,,,,,
40934-80011,TE,Antony,Antony Auclair,Auclair,0.800000012,2,4000,TB@JAC,TB,JAC,IR,Toe,,Ben Watson,2.8
40934-12546,D,Arizona,Arizona Cardinals,Cardinals,4.090909091,11,3500,LAR@ARI,ARI,LAR,,,,,
40934-54885,WR,Artavis,Artavis Scott,Scott,0,0,4500,LAC@DEN,LAC,DEN,,,,,
40934-104012,WR,Ashton,Ashton Dulin,Dulin,0,0,4500,TEN@IND,IND,TEN,,,,,
40934-12525,D,Atlanta,Atlanta Falcons,Falcons,4.545454545,11,3200,NO@ATL,ATL,NO,,,,,
40934-64339,WR,Auden,Auden Tate,Tate,7.080000305,10,5200,NYJ@CIN,CIN,NYJ,,,,,
40934-28463,WR,Austin,Austin Carr,Carr,0.699999988,2,4500,NO@ATL,NO,ATL,IR,Ankle,,Bo Scarbrough,8.3
40934-40687,RB,James,James Conner,Conner,14.02499962,8,7100,CLE@PIT,PIT,CLE,Q,Shoulder - ac joint,,,
40934-40126,TE,Austin,Austin Hooper,Hooper,14.08888923,9,6600,NO@ATL,ATL,NO,Q,Knee - mcl,,,
40934-57439,QB,Patrick,Patrick Mahomes,Mahomes,21.82444424,9,8600,OAK@KC,KC,OAK,,,,,
40934-12555,D,Baltimore,Baltimore Ravens,Ravens,10.18181818,11,4000,SF@BAL,BAL,SF,,,,,
40934-70489,TE,Ben,Ben Braunecker,Braunecker,3.724999905,4,4600,CHI@DET,CHI,DET,Q,Concussion,,,
40934-33531,TE,Ben,Ben Koyack,Koyack,0.466666659,3,4000,TB@JAC,JAC,TB,,,,,
40934-7870,TE,Ben,Ben Watson,Watson,3.579999924,5,5200,NE@HOU,NE,HOU,,,,,
40934-28157,WR,Bennie,Bennie Fowler III,Fowler III,4.349999905,8,4700,GB@NYG,NYG,GB,,,,,
40934-64119,RB,Chris,Chris Carson,Carson,13.94545399,11,7200,MIN@SEA,SEA,MIN,,,,,
40934-64401,RB,Saquon,Saquon Barkley,Barkley,13.4375,8,7600,GB@NYG,NYG,GB,,,,,
40934-6654,QB,Matthew,Matthew Stafford,Stafford,21.44499969,8,7500,CHI@DET,DET,CHI,D,Back,,,
40934-27403,TE,Blake,Blake Bell,Bell,0.357142857,7,4000,OAK@KC,KC,OAK,Q,Ankle,,,
40934-30253,QB,Jeff,Jeff Driskel,Driskel,20.53333282,3,7000,CHI@DET,DET,CHI,Q,Hamstring,,,
40934-27527,TE,Blake,Blake Jarwin,Jarwin,5.320000076,10,4800,BUF@DAL,DAL,BUF,,,,,
40934-62497,RB,David,David Johnson,Johnson,13.25,8,5700,LAR@ARI,ARI,LAR,,,,,
40934-28181,RB,Le'Veon,Le'Veon Bell,Bell,12.90909091,11,7300,NYJ@CIN,NYJ,CIN,,,,,
40934-29501,WR,Brandin,Brandin Cooks,Cooks,7.677777608,9,6700,LAR@ARI,LAR,ARI,,,,,
40934-62239,QB,Josh,Josh Allen,Allen,20.46363692,11,7800,BUF@DAL,BUF,DAL,,,,,
40934-57909,RB,Marlon,Marlon Mack,Mack,12.58000031,10,7300,TEN@IND,IND,TEN,O,Hand,,Chandler Cox,0
40934-103900,TE,Brandon,Brandon Dillon,Dillon,0,0,4000,MIN@SEA,MIN,SEA,,,,,
40934-52345,WR,Brandon,Brandon Powell,Powell,3.133333206,6,4500,NO@ATL,ATL,NO,,,,,
40934-82731,WR,Brandon,Brandon Zylstra,Zylstra,0,1,4500,WAS@CAR,CAR,WAS,,,,,
40934-52495,WR,Braxton,Braxton Berrios,Berrios,0.989999962,10,4500,NYJ@CIN,NYJ,CIN,,,,,
40934-34295,WR,Breshad,Breshad Perriman,Perriman,2.966666751,9,4900,TB@JAC,TB,JAC,,,,,
40934-63484,QB,Kyler,Kyler Murray,Murray,20.44727256,11,7700,LAR@ARI,ARI,LAR,,,,,
40934-24849,QB,Jameis,Jameis Winston,Winston,20.14909085,11,7600,TB@JAC,TB,JAC,,,,,
40934-27776,RB,Tevin,Tevin Coleman,Coleman,12.52222188,9,6100,SF@BAL,SF,BAL,,,,,
40934-6616,QB,Matt,Matt Ryan,Ryan,18.98600006,10,7700,NO@ATL,ATL,NO,,,,,
40934-28900,RB,Melvin,Melvin Gordon III,Gordon III,12.15714264,7,7000,LAC@DEN,LAC,DEN,,,,,
40934-41426,RB,Phillip,Phillip Lindsay,Lindsay,12.06363609,11,6300,LAC@DEN,DEN,LAC,,,,,
40934-12526,D,Buffalo,Buffalo Bills,Bills,8.636363636,11,4000,BUF@DAL,BUF,DAL,,,,,
40934-69295,WR,Byron,Byron Pringle,Pringle,5.420000076,5,4600,OAK@KC,KC,OAK,,,,,
40934-6894,QB,Aaron,Aaron Rodgers,Rodgers,18.09818198,11,8100,GB@NYG,GB,NYG,,,,,
40934-80281,WR,C.J.,C.J. Board,Board,2.799999952,1,4500,TB@JAC,JAC,TB,,,,,
40934-30447,RB,Todd,Todd Gurley II,Gurley II,12.05999985,10,7400,LAR@ARI,LAR,ARI,,,,,
40934-42142,RB,Jordan,Jordan Howard,Howard,11.82222239,9,6500,PHI@MIA,PHI,MIA,Q,Shoulder,,,
40934-31207,TE,C.J.,C.J. Uzomah,Uzomah,2.150000095,8,4300,NYJ@CIN,CIN,NYJ,,,,,
40934-71767,TE,Caleb,Caleb Wilson,Wilson,0,0,4000,LAR@ARI,ARI,LAR,,,,,
