Week,Year,GID,Name,Pos,Team,h/a,Oppt,Actual,FD salary
13,2019,1518,Deshaun Watson,QB,hou,h,nwe,28.36,7700
13,2019,1252,Aaron Rodgers,QB,gnb,a,nyg,28.12,8100
13,2019,1242,Ryan Fitzpatrick,QB,mia,h,phi,27.8,7100
13,2019,1514,Carson Wentz,QB,phi,a,mia,25.4,7300
13,2019,1131,Tom Brady,QB,nwe,a,hou,25.34,7700
13,2019,1490,Jared Goff,QB,lar,a,ari,24.96,7900
13,2019,1519,Mitchell Trubisky,QB,chi,a,det,24.92,6800
13,2019,1536,Kyle Allen,QB,car,h,was,24.32,7200
13,2019,1501,Dak Prescott,QB,dal,h,buf,23.7,8200
13,2019,1529,Josh Allen,QB,buf,a,dal,23.54,7800
13,2019,1527,Lamar Jackson,QB,bal,h,sfo,22.3,8700
13,2019,1523,Patrick Mahomes II,QB,kan,h,oak,19.5,8600
13,2019,1301,Matt Ryan,QB,atl,h,nor,18.58,7700
13,2019,1546,David Blough,QB,det,h,chi,18.3,6000
13,2019,1415,Kirk Cousins,QB,min,a,sea,18.04,7700
13,2019,1412,Russell Wilson,QB,sea,h,min,17.9,7900
13,2019,1231,Philip Rivers,QB,lac,a,den,17.6,7300
13,2019,1496,Jacoby Brissett,QB,ind,h,ten,14.66,7200
13,2019,1537,Kyler Murray,QB,ari,h,lar,14.32,7700
13,2019,1547,Drew Lock,QB,den,h,lac,13.86,6000
13,2019,1410,Ryan Tannehill,QB,ten,a,ind,13.78,7300
13,2019,1403,Andy Dalton,QB,cin,h,nyj,13.32,6000
13,2019,1543,Devlin Hodges,QB,pit,h,cle,11.68,6800
13,2019,1540,Gardner Minshew,QB,jac,h,tam,11.68,6000
13,2019,1441,Derek Carr,QB,oak,a,kan,11.58,7200
13,2019,1151,Drew Brees,QB,nor,a,atl,11.26,8500
13,2019,1539,Daniel Jones,QB,nyg,h,gnb,11.2,7400
13,2019,1465,Jameis Winston,QB,tam,a,jac,10.72,7600
13,2019,1524,Sam Darnold,QB,nyj,a,cin,10.46,7600
13,2019,1452,Jimmy Garoppolo,QB,sfo,a,bal,9.1,8000
13,2019,1528,Baker Mayfield,QB,cle,a,pit,9.04,7600
13,2019,1538,Dwayne Haskins,QB,was,a,car,6.48,6500
13,2019,1446,Garrett Gilbert,QB,cle,a,pit,0,6000
13,2019,1400,Tyrod Taylor,QB,lac,a,den,0,6000
13,2019,1298,Matt Moore,QB,kan,h,oak,-0.1,6000
13,2019,1544,Tim Boyle,QB,gnb,a,nyg,-0.4,6000
13,2019,1442,Blake Bortles,QB,lar,a,ari,-0.88,6000
13,2019,1413,Nick Foles,QB,jac,h,tam,-0.98,7500
13,2019,2954,James White,RB,nwe,a,hou,33.7,6000
13,2019,5616,Derrius Guice,RB,was,a,car,26.7,5400
13,2019,5618,Rashaad Penny,RB,sea,h,min,24.7,6100
13,2019,5414,Raheem Mostert,RB,sfo,a,bal,22.4,4800
13,2019,5445,Derrick Henry,RB,ten,a,ind,22.1,8600
13,2019,5714,Miles Sanders,RB,phi,a,mia,19,5800
13,2019,5507,Peyton Barber,RB,tam,a,jac,18.4,5400
13,2019,2992,Todd Gurley,RB,lar,a,ari,18,7400
13,2019,5717,Devin Singletary,RB,buf,a,dal,17.6,6600
13,2019,2997,Duke Johnson,RB,hou,h,nwe,17.5,5400
13,2019,5565,Chris Carson,RB,sea,h,min,17.4,7200
13,2019,5444,Ezekiel Elliott,RB,dal,h,buf,17.2,8400
13,2019,2553,Adrian Peterson,RB,was,a,car,15.9,5800
13,2019,5713,David Montgomery,RB,chi,a,det,15.7,5900
13,2019,5560,Kareem Hunt,RB,cle,a,pit,15,5900
13,2019,5535,Joe Mixon,RB,cin,h,nyj,15,6500
13,2019,5788,Patrick Laird,RB,mia,h,phi,14.8,4900
13,2019,5575,Austin Ekeler,RB,lac,a,den,14.7,6700
13,2019,5536,Christian McCaffrey,RB,car,h,was,13.7,11000
13,2019,5534,Leonard Fournette,RB,jac,h,tam,13.6,7600
