Week;Year;GID;Name;Pos;Team;h/a;Oppt;FD points;FD salary
13;2019;1518;Watson, Deshaun;QB;hou;h;nwe;28.36;7700
13;2019;1252;Rodgers, Aaron;QB;gnb;a;nyg;28.12;8100
13;2019;1242;Fitzpatrick, Ryan;QB;mia;h;phi;27.8;7100
13;2019;1514;Wentz, Carson;QB;phi;a;mia;25.4;7300
13;2019;1131;Brady, Tom;QB;nwe;a;hou;25.34;7700
13;2019;1490;Goff, Jared;QB;lar;a;ari;24.96;7900
13;2019;1519;Trubisky, Mitchell;QB;chi;a;det;24.92;6800
13;2019;1536;Allen, Kyle;QB;car;h;was;24.32;7200
13;2019;1501;Prescott, Dak;QB;dal;h;buf;23.7;8200
13;2019;1529;Allen, Josh;QB;buf;a;dal;23.54;7800
13;2019;1527;Jackson, Lamar;QB;bal;h;sfo;22.3;8700
13;2019;1523;Mahomes II, Patrick;QB;kan;h;oak;19.5;8600
13;2019;1301;Ryan, Matt;QB;atl;h;nor;18.58;7700
13;2019;1546;Blough, David;QB;det;h;chi;18.3;6000
13;2019;1415;Cousins, Kirk;QB;min;a;sea;18.04;7700
13;2019;1412;Wilson, Russell;QB;sea;h;min;17.9;7900
13;2019;1231;Rivers, Philip;QB;lac;a;den;17.6;7300
13;2019;1496;Brissett, Jacoby;QB;ind;h;ten;14.66;7200
13;2019;1537;Murray, Kyler;QB;ari;h;lar;14.32;7700
13;2019;1547;Lock, Drew;QB;den;h;lac;13.86;6000
13;2019;1410;Tannehill, Ryan;QB;ten;a;ind;13.78;7300
13;2019;1403;Dalton, Andy;QB;cin;h;nyj;13.32;6000
13;2019;1543;Hodges, Devlin;QB;pit;h;cle;11.68;6800
13;2019;1540;Minshew, Gardner;QB;jac;h;tam;11.68;6000
13;2019;1441;Carr, Derek;QB;oak;a;kan;11.58;7200
13;2019;1151;Brees, Drew;QB;nor;a;atl;11.26;8500
13;2019;1539;Jones, Daniel;QB;nyg;h;gnb;11.2;7400
13;2019;1465;Winston, Jameis;QB;tam;a;jac;10.72;7600
13;2019;1524;Darnold, Sam;QB;nyj;a;cin;10.46;7600
13;2019;1452;Garoppolo, Jimmy;QB;sfo;a;bal;9.1;8000
13;2019;1528;Mayfield, Baker;QB;cle;a;pit;9.04;7600
13;2019;1538;Haskins, Dwayne;QB;was;a;car;6.48;6500
13;2019;1446;Gilbert, Garrett;QB;cle;a;pit;0;6000
13;2019;1400;Taylor, Tyrod;QB;lac;a;den;0;6000
13;2019;1298;Moore, Matt;QB;kan;h;oak;-0.1;6000
13;2019;1544;Boyle, Tim;QB;gnb;a;nyg;-0.4;6000
13;2019;1442;Bortles, Blake;QB;lar;a;ari;-0.88;6000
13;2019;1413;Foles, Nick;QB;jac;h;tam;-0.98;7500
13;2019;2954;White, James;RB;nwe;a;hou;33.7;6000
13;2019;5616;Guice, Derrius;RB;was;a;car;26.7;5400
13;2019;5618;Penny, Rashaad;RB;sea;h;min;24.7;6100
13;2019;5414;Mostert, Raheem;RB;sfo;a;bal;22.4;4800
13;2019;5445;Henry, Derrick;RB;ten;a;ind;22.1;8600
13;2019;5714;Sanders, Miles;RB;phi;a;mia;19;5800
13;2019;5507;Barber, Peyton;RB;tam;a;jac;18.4;5400
13;2019;2992;Gurley, Todd;RB;lar;a;ari;18;7400
13;2019;5717;Singletary, Devin;RB;buf;a;dal;17.6;6600
13;2019;2997;Johnson, Duke;RB;hou;h;nwe;17.5;5400
13;2019;5565;Carson, Chris;RB;sea;h;min;17.4;7200
13;2019;5444;Elliott, Ezekiel;RB;dal;h;buf;17.2;8400
13;2019;2553;Peterson, Adrian;RB;was;a;car;15.9;5800
13;2019;5713;Montgomery, David;RB;chi;a;det;15.7;5900
13;2019;5560;Hunt, Kareem;RB;cle;a;pit;15;5900
13;2019;5535;Mixon, Joe;RB;cin;h;nyj;15;6500
13;2019;5788;Laird, Patrick;RB;mia;h;phi;14.8;4900
13;2019;5575;Ekeler, Austin;RB;lac;a;den;14.7;6700
13;2019;5536;McCaffrey, Christian;RB;car;h;was;13.7;11000
13;2019;5534;Fournette, Leonard;RB;jac;h;tam;13.6;7600
13;2019;5740;Snell, Benny;RB;pit;h;cle;13.2;6100
13;2019;5614;Barkley, Saquon;RB;nyg;h;gnb;13;7600
13;2019;2991;Gordon, Melvin;RB;lac;a;den;12;7000
13;2019;5559;Cook, Dalvin;RB;min;a;sea;11.9;8400
13;2019;5623;Hines, Nyheim;RB;ind;h;ten;11;5500
13;2019;2707;McCoy, LeSean;RB;kan;h;oak;10.5;5800
13;2019;5744;Thompson, Darwin;RB;kan;h;oak;10.4;4500
13;2019;5562;Kamara, Alvin;RB;nor;a;atl;10.4;8300
13;2019;5712;Jacobs, Josh;RB;oak;a;kan;10.4;7700
13;2019;5720;Mattison, Alexander;RB;min;a;sea;9.3;4800
13;2019;5541;Williams, Jamaal;RB;gnb;a;nyg;8.7;5600
13;2019;2888;Bell, Le'Veon;RB;nyj;a;cin;8.7;7300
13;2019;5622;Chubb, Nick;RB;cle;a;pit;8.4;8200
13;2019;2930;Freeman, Devonta;RB;atl;h;nor;8.4;6200
13;2019;5791;Scarbrough, Bo;RB;det;h;chi;8.3;6100
13;2019;5708;Williams, Darrel;RB;kan;h;oak;8.1;5400
13;2019;5630;Lindsay, Phillip;RB;den;h;lac;7.7;6300
13;2019;2793;Ingram, Mark;RB;bal;h;sfo;7.2;7500
13;2019;5625;Wilkins, Jordan;RB;ind;h;ten;6.6;4700
13;2019;5688;Samuels, Jaylen;RB;pit;h;cle;6.4;5500
13;2019;5449;Washington, DeAndre;RB;oak;a;kan;6.4;5000
13;2019;5446;Drake, Kenyan;RB;ari;h;lar;6.1;6400
13;2019;5564;Cohen, Tarik;RB;chi;a;det;5.5;6400
13;2019;5608;Hill, Brian;RB;atl;h;nor;5.2;5500
13;2019;5543;Jones, Aaron;RB;gnb;a;nyg;5.1;8000
13;2019;5615;Michel, Sony;RB;nwe;a;hou;4.5;6600
13;2019;5742;Johnson, Ty;RB;det;h;chi;4.4;4900
13;2019;5620;Freeman, Royce;RB;den;h;lac;4.4;5300
13;2019;5586;McKissic, J.D.;RB;det;h;chi;3.9;5200
13;2019;2915;Thompson, Chris;RB;was;a;car;3.4;5200
13;2019;5395;Johnson, David;RB;ari;h;lar;3.4;5700
13;2019;5581;Ham, C.J.;RB;min;a;sea;3.2;4500
13;2019;5789;Gaskin, Myles;RB;mia;h;phi;3.1;4600
13;2019;5441;Brown, Malcolm;RB;lar;a;ari;3;4900
13;2019;2467;Gore, Frank;RB;buf;a;dal;3;5400
13;2019;5451;Williams, Jonathan;RB;ind;h;ten;3;6800
13;2019;5738;Homer, Travis;RB;sea;h;min;2.9;4500
13;2019;2819;Powell, Bilal;RB;nyj;a;cin;2.8;4900
13;2019;5681;Edwards, Gus;RB;bal;h;sfo;2.7;5400
